scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,us,42.0,256.0161952787307
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,apac,110.0,187.62796209323042
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,af,3.4,269.16518977038567
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,row,293.0,323.17052279196685
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,ch,498.5655784378971,107.79092378768429
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,eu,32.6028315074159,272.31557802906815
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,us,61.06989704293183,291.3748121395647
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,apac,149.49175073989528,255.33291430424848
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,af,5.68217257057951,234.15092220790126
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2030,row,102.41440167531107,232.96668334993782
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,ch,474.49063028663113,95.90883300246304
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,eu,42.48116434223091,213.45307929632966
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,us,65.1999615822927,217.08123284512234
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,apac,182.4093027460821,110.01520795412749
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,af,8.048346409185926,229.79738801255576
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2035,row,102.40308137857038,206.9239589502861
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2040,ch,474.34311298049806,86.65125723361481
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2040,eu,53.70261029085077,208.40199268722156
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2040,us,66.78944109722417,202.03362956085158
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2040,apac,231.70304155269991,99.41154605220956
