sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,30,1.641084153,4.102710381,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,31,0.9846501512,2.461625378,True,1,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,32,0.5907897428,1.476974357,True,2,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,33,0.3544734886,0.8861837214,True,3,converged_after_continuation,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,1,80,100,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,2,46.1113799,72.0490311,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,3,40.31143802,48.57681569,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,4,168.1000286,262.6562947,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,5,103.7974388,109.6522392,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,6,34.79497434,21.93044777,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,7,9.07624556,6.608625123,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,8,4.113131066,5.784090561,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,9,3.428370966,5.142556448,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,10,16.53337336,42.173077,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,11,15.15050382,40.97844736,True,0,not_converged,no_saved_solve_failure_flag
us-apac-af-row-eu-ch,US–APAC–AF–ROW–EU–CH,12,18.25173843,42.95222402,True,0,not_converged,no_saved_solve_failure_flag
